Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_MA_3,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Inflation_Rate_India,Inflation_Rate_US,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Unemployment_Rate_India,US_Unemployment_Rate,Dollar_Index,Dollar_Index_Percent_Change
2015-01-24,61.455,61.455,61.553,61.50266666666667,0.001127535449710102,0.0,8835.6,2051.8,8761.4,2063.2,0.0084689661469627,-0.0055253974408683,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-25,61.455,61.455,61.598,61.455,0.001127535449710102,0.0,8835.6,2051.8,8761.4,2063.2,0.0084689661469627,-0.0055253974408683,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-26,61.473,61.455,61.455,61.461000000000006,0.0011096126884508751,0.00029289724188430455,8835.6,2051.8,8761.4,2063.2,0.0084689661469627,-0.0055253974408683,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-27,61.343,61.473,61.455,61.42366666666666,0.0012484327278685931,-0.002114749564849583,8910.5,2029.5,8835.6,2051.8,0.0084770700348588,-0.0108685057023102,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-28,61.351,61.343,61.455,61.389,0.0012220307293863996,0.00013041422819215498,8914.3,2002.2,8910.5,2029.5,0.0004264631614385,-0.0134515890613451,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-29,61.777,61.351,61.473,61.49033333333333,0.003080899183207294,0.006943652100210196,8952.35,2021.2,8914.3,2002.2,0.0042684226467586,0.0094895614823693,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-30,62.13,61.777,61.343,61.75266666666667,0.003372936542307361,0.005714100717095327,8808.9,1995.0,8952.35,2021.2,-0.016023725613945,-0.0129625964773402,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-01-31,62.13,62.13,61.351,62.01233333333334,0.003372936542307361,0.0,8808.9,1995.0,8952.35,2021.2,-0.016023725613945,-0.0129625964773402,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.174751721484161,0.1111505674650676,112.7857,0.0097957232235907
2015-02-01,62.13,62.13,61.777,62.13,0.003372936542307361,0.0,8808.9,1995.0,8952.35,2021.2,-0.016023725613945,-0.0129625964773402,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-02,61.748,62.13,62.13,62.00266666666667,0.004476459084997923,-0.0061483985192339885,8797.4,2020.8,8808.9,1995.0,-0.0013054978487665,0.0129323308270676,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
